Speaker Name,Display Pic url,Designation,Company
Michel Morvan,https://www.ai-expo.net/europe/wp-content/uploads/2019/02/Michael-Morvan.jpg,Founder and Executive Chairman,Cosmo Tech
Aslan Mehrabi,https://www.ai-expo.net/europe/wp-content/uploads/2019/04/Aslan_Mehrabi_photo_2-002.png,Data Scientist and Blockchain Developer,MXC
Alexey Filanovskiy,https://www.ai-expo.net/europe/wp-content/uploads/2019/01/Alexey-Filanovskiy.png,Principle Product Manager,Oracle
Eric van Nispen,https://www.ai-expo.net/europe/wp-content/uploads/2019/03/Eric-Van-Nispen-z-wB.jpg,General Manager,Wonderware
Bernard Gallant,https://www.ai-expo.net/europe/wp-content/uploads/2019/06/Bernard-Gallant.jpg,Account Executiv,Darktrace
Jasper Zondervan,https://www.ai-expo.net/europe/wp-content/uploads/2019/03/Jasper-Zondervan.jpg,Consultant Manufacturing Analytics,Wonderware
Wayne Butterfield,https://www.ai-expo.net/europe/wp-content/uploads/2019/01/Wayne-Butterfield.jpg,Director Cognitive Automation & Innovation,ISG
Tamas Erkelens,https://www.ai-expo.net/europe/wp-content/uploads/2019/01/Tamas-Erkelens.jpg,Program Manager of Data Innovation,Municipality of Amsterdam
Henrik Bo Larsen,https://www.ai-expo.net/europe/wp-content/uploads/2019/02/Henrik.png,Business Development and Data Insight,REMA1000 / Vigo
Justin van der Lande,https://www.ai-expo.net/europe/wp-content/uploads/2019/03/Justin-Van-Der-Lande.jpg,Principal Analyst AI & Analytics,Analysys Mason 
"Senior Representative, NetApp",https://www.ai-expo.net/europe/wp-content/uploads/2018/12/silhouette.png,.,.
Benjamin Simonneau,https://www.ai-expo.net/europe/wp-content/uploads/2019/05/Benj.jpeg,Manager of Professional Services,Zeenea 
Gerard van der Hoeven,https://www.ai-expo.net/europe/wp-content/uploads/2019/03/Gerard-002.jpg,Managing Partner,Protium.Digital
"Senior Rep, Radicalbit",https://www.ai-expo.net/europe/wp-content/uploads/2018/12/silhouette.png,Radicalbit,
Peter Broekroelofs,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/Peter-Broekroelofs.jpg,Chief Design Officer,Dynniq
Steven Nooijen,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/steven-nooijen.png,Data Science Consultant,GoDataDriven
Roberto Valenti,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/Roberto-Valenti.jpg,CTO & co-founder,Sightcorp
Pieter van der Toorn,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/5.toorn_pieter-van-der_8678.jpg,MD Risk Manager,ABN AMRO Bank N.V.
Jakub Krcmar,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/Jakub-Krcmar.jpg,Co-founder ,Value Protocol
Marco Van Heerde,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/Marco-Van-Heerde.jpg,Lead - Location Products,KLM Royal Dutch Airlines
Rogier van Beugen,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/rogier-van-Beugen.jpg,"Director, Innovation & Venturing",KLM - Air France
Maxim Pervunin,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/Pervunin_pic.jpg,Managing Partner,TFH Russia
Mark Stephen Meadows,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/Meadows-Headshot-SEED-1.png,Trustee & Co-Founder,Seed Vault Ltd
Bret Baas,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/Bret-Baas.jpg,CIO / CTO,Rai Amsterdam
Pieter Bons,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/Pieter-Bons.jpg,Data Scientist,Ortec
Jan Morgenthal,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/Jan-Morganthal.jpg,Chief Product Owner Artificial Intelligence,Deutsche Telekom
Marrit Kuin,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/Marrit-Kuin.jpg,Global Digital Innovation Manager,Royal FrieslandCampina
Allison Kang,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/Allison-Kang-new-1.jpg,"VP, Content Curator, Spokesperson",BPU Holdings
Irakli Beridze,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/Irakli-Beridze.jpg,Head of the Centre for Artificial Intelligence and Robotics,"United Nations, UNICRI"
Alex Bunardzic,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/Alex-Bunardzic.jpg,"Former Senior Software Development, Research and Development Staples",Staples
Martin Ruane,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/Martin-Ruane.jpg,Programme Director,Engie
Alexander Chub,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/Alexander-Chub.jpg,Chief Strategist,Skychain
Fabian J. G. Westerheide,https://www.ai-expo.net/europe/wp-content/uploads/2018/05/fabian-westerheide-3.jpg,Founder and CEO,Asgard
Carlos Art Nevarez,https://www.ai-expo.net/europe/wp-content/uploads/2018/05/CarlosArtNevarez-1.jpg,CTO,BPU Holdings
Pratyush Sinha,https://www.ai-expo.net/europe/wp-content/uploads/2018/05/Prattush-Sinha.jpg,Principal Data Scientist,(Formerly) VEON
Miriam Huijser,https://www.ai-expo.net/europe/wp-content/uploads/2018/05/Miriam-Huijser.jpg,Co-Founder & Chief Research Officer,Aiir Innovations 
Maarten Stol,https://www.ai-expo.net/europe/wp-content/uploads/2018/05/Maarten-Stol.jpg,Principal Scientific Adviser,BrainCreators
Jan van Gemert,https://www.ai-expo.net/europe/wp-content/uploads/2018/05/Jan-Van-Gemert.jpg,Assistant Professor,TU Delft University of Technology
Violeta Misheva,https://www.ai-expo.net/europe/wp-content/uploads/2018/05/Violeta-Misheva.jpg,Data Scientist,ABN AMRO Bank N.V.
Christophe Eschenbrenner,https://www.ai-expo.net/europe/wp-content/uploads/2018/05/christophe-eschenbrenner.jpg,IOT & DATA foundations program manager,ALSTOM DIGITAL MOBILITY
Przemysław Lewicki,https://www.ai-expo.net/europe/wp-content/uploads/2018/05/P.Lewicki.jpg,Director Retail Credits Service Center,ING
Len Debets,https://www.ai-expo.net/europe/wp-content/uploads/2019/03/LEN.jpg,Founder of KPMG's Digital Advisor,KPMG
Pascha Iljin,https://www.ai-expo.net/europe/wp-content/uploads/2018/05/Kate.jpg,Manager FP&A Predictive Analytics and Big Data ,AkzoNobel
Max Amordeluso,https://www.ai-expo.net/europe/wp-content/uploads/2018/04/Amazon.jpeg,EU Lead Evangelist Alexa ,Amazon 
Carla Jesus,https://www.ai-expo.net/europe/wp-content/uploads/2018/05/Car.jpg,Senior Product Owner,Adidas
Jo Hill,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/Jo-Hill.png,"Director - Market Intelligence, Data and Analysis",Financial Conduct Authority
Dr. Utku Pamuksuz,https://www.ai-expo.net/europe/wp-content/uploads/2018/05/Utku-Pamuksuz.jpg,"Sr. Data Scientist, Co-Founder, and Clinical Professor of Data Analytics","Grainger, Inference Analytics and University of Illinois Urbana-Champaign."
Steve Brendish,https://www.ai-expo.net/europe/wp-content/uploads/2018/05/Steve-Brendish.jpeg,Founder & Creative Director,2 Dam Creative   
Dr. Richard Vdovjak,https://www.ai-expo.net/europe/wp-content/uploads/2018/05/Richard-Vdovjak.jpg,Principal scientist in Data Science and AI,Philips Healthcare
Arka Sarkar,https://www.ai-expo.net/europe/wp-content/uploads/2018/05/Arka-Sarka.jpg,"Product Owner, Data Science",Booking.com
Simon Poole,https://www.ai-expo.net/europe/wp-content/uploads/2018/05/Simon-Poole.jpg,Head of Technology,Just Eat
Paige Leuschner,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/Paige-Leuschner-Bio-Pic.jpg,Research Analyst,Navigant Research
George Davis,https://www.ai-expo.net/europe/wp-content/uploads/2018/05/George-Davis.png,CEO,Prosper BI
Simon Morel,https://www.ai-expo.net/europe/wp-content/uploads/2018/04/Simon-Morel.png,Partner & Head of Product ,BotSupply
Alexander Denev,https://www.ai-expo.net/europe/wp-content/uploads/2018/04/Alex-Denev.jpg,(Formerly) Executive Director – Head of Quantitative Research and Advanced Analytics, IHS Markit
Sreenath Jalla,https://www.ai-expo.net/europe/wp-content/uploads/2018/05/Sreenath-Jalla.jpg,"SAP, Finance and Supply Chain Transformation",Maersk Line
Peter Jackson,https://www.ai-expo.net/europe/wp-content/uploads/2018/04/PJ-headshot.png,Chief Data Officer,Southern Water
Dor Kedem ,https://www.ai-expo.net/europe/wp-content/uploads/2018/04/Dor-ING.jpeg,Senior Data Scientist ,ING
Martine Van Der Lee,https://www.ai-expo.net/europe/wp-content/uploads/2018/04/Martine-Van-Der-Lee.jpeg,Director Social Media,KLM
Alex Sierkov,https://www.ai-expo.net/europe/wp-content/uploads/2018/04/Alex-Sierkov.jpeg,"Director Product, Search and Machine Learning",HomeToGo  
Filippo F.G. Della Casa,https://www.ai-expo.net/europe/wp-content/uploads/2018/04/Filippo.jpg,Head of Analytics,Leithà – Unipol Group
Julio Peironcely,https://www.ai-expo.net/europe/wp-content/uploads/2018/04/Julio-Peironcely.jpeg,Head of Data Science team,Schiphol Airport
Raymond Hannes,https://www.ai-expo.net/europe/wp-content/uploads/2018/05/Raymond-Hannes.jpg,Managing Partner,DigiGurus BV
Hans Schepers,https://www.ai-expo.net/europe/wp-content/uploads/2018/05/Hans.jpeg,Data Scientist Precision Horticulture Monsanto,Monsanto 
Wayne Butterfield,https://www.ai-expo.net/europe/wp-content/uploads/2019/01/Wayne-Butterfield.jpg,Director Cognitive Automation & Innovation,ISG
Victor Crété,https://www.ai-expo.net/europe/wp-content/uploads/2018/05/Victor-Crete.jpg,Consultant & Analyst,PAC France 
Daniel Gilbert,https://www.ai-expo.net/europe/wp-content/uploads/2018/04/Daniel-News-UK.jpeg,Director of Data,News UK
Keri Smith,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/Keri-Smith.jpg,Director and Head of Automation Practice EMEA,ISG
Oliver Becher,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/Oliver-Becher.jpg,Senior Representative,GoDataDriven
Adrian Foltyn,https://www.ai-expo.net/europe/wp-content/uploads/2018/05/Adrian.jpg,Former Head/Director of Data Science ,HelloFresh 
Joost Melchers,https://www.ai-expo.net/europe/wp-content/uploads/2018/05/Joost.jpeg,Data Scientist,Marel Poultry
Kalyan Meduri,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/Kaylan-Meduri.png,Digital Innovation Marketer ,
Britta Muzyk-Tikovsky,https://www.ai-expo.net/europe/wp-content/uploads/2018/04/Britta.jpg,Managing Director,Capscovil
Shyamantak Gautam,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/Shyamantak-Gautam.jpg,Co-founder & CTO,Progress DataRPM
Norman Stürtz,https://www.ai-expo.net/europe/wp-content/uploads/2019/04/Norman_Stuertz_2019.jpg,"Divisional CDO, Credit Suisse (Schweiz) AG",Credit Suisse
Marco Szeidenleder,https://www.ai-expo.net/europe/wp-content/uploads/2017/05/marco_szeidenleder.jpg,Managing Partner,Pandata
Claudio Weck,https://www.ai-expo.net/europe/wp-content/uploads/2017/05/Claudio-Weck-1.jpg,Head of Data Science,MHP – A Porsche Company
Dr. Anand Rao,https://www.ai-expo.net/europe/wp-content/uploads/2017/05/Anand.jpg,"Partner, Global AI Lead",PwC Data & Analytics
Dr. Andreas Braun,https://www.ai-expo.net/europe/wp-content/uploads/2017/04/Andreas-Braun.png,Global Data & Analytics ,Allianz SE
Richard MacDonald-Keen,https://www.ai-expo.net/europe/wp-content/uploads/2017/05/Richard-MacDonald-Keen.jpg,Principal Engineer,Skyscanner
Francesc Balada,https://www.ai-expo.net/europe/wp-content/uploads/2017/05/Francesc.jpg,Data Scientist,Vienna Data Science Group 
Richard Vdovjak,https://www.ai-expo.net/europe/wp-content/uploads/2017/04/Richard-Vdovjak.jpg,"Principal Scientist, Data Science and Artificial Intelligence ",Philips
Dr. Dave Raggett,https://www.ai-expo.net/europe/wp-content/uploads/2017/04/dave-raggett.png,Fellow,W3C
Dr Rand Hindi,https://www.ai-expo.net/europe/wp-content/uploads/2017/03/image001-1.jpg,Founder & CEO,Snips
Alun Jones,https://www.ai-expo.net/europe/wp-content/uploads/2017/03/xalun-jones.jpg.pagespeed.ic_.DhblRu9vR9.jpg,Data Scientist,Konecranes
Hans Uszkoreit,https://www.ai-expo.net/europe/wp-content/uploads/2017/03/HANS-USZKOREIT.jpg,Scientific Director,German Research Center for Artificial Intelligence (DFKI)
Ståle Fredlund Husby,https://www.ai-expo.net/europe/wp-content/uploads/2017/05/Stale.jpg,Co-Founder and CEO,Relink
Steve Emecz,https://www.ai-expo.net/europe/wp-content/uploads/2017/04/Steve_Emecz-1-002.jpg,CCO,collectAI
Susanne Kaarnimo-Knight,https://www.ai-expo.net/europe/wp-content/uploads/2017/03/14a209a.jpg,Head of Digital,TUI Nordic
Ernest Wohnig,https://www.ai-expo.net/europe/wp-content/uploads/2017/05/Ernest-Wohnig-InFormal-seated.jpg,Global IT & Cyber security Executive/Author/Lecturer.  ,
Terence Hielscher,https://www.ai-expo.net/europe/wp-content/uploads/2017/03/Bilder.jpg,Founder & MD,MoBerries
Alexander Mankowsky,https://www.ai-expo.net/europe/wp-content/uploads/2017/03/portrait1.jpg,"Social Scientist, Knowledge Engineer",Daimler AG
Georg Wittenburg,https://www.ai-expo.net/europe/wp-content/uploads/2017/05/georg-wittenburg.jpg,Co-founder / CEO ,Inspirient
Raphael Vullierme,https://www.ai-expo.net/europe/wp-content/uploads/2017/03/luko2.png,CEO & Co-founder,LUKO
Xaver Lehmann,https://www.ai-expo.net/europe/wp-content/uploads/2017/03/ebot7.png,Co-founder & Managing Director,e-bot7
Geert Meulenbelt,https://www.ai-expo.net/europe/wp-content/uploads/2017/03/Geert-1-1.jpg,Chief Customer Officer,Saagie
Aditya Kaul,https://www.ai-expo.net/europe/wp-content/uploads/2017/04/Aditya-Kaul.jpg,Research Director ,Tractica 
Dr. Aljoscha Burchardt,https://www.ai-expo.net/europe/wp-content/uploads/2017/04/Aljoscha-Burchardt.jpg,Lab Manager,DFKI GmbH
Christoph Kögler,https://www.ai-expo.net/europe/wp-content/uploads/2017/05/Christoph.Koegler.jpg,Bundesverband Digitale Wirtschaft (BVDW) ,e.V. / Lab Digital Ethics / bvdw.org
Martin Karlsson,https://www.ai-expo.net/europe/wp-content/uploads/2017/03/Martin-Karlsson-Lateral.jpg,Co-Founder & CEO,Lateral
Tom Bocklisch,https://www.ai-expo.net/europe/wp-content/uploads/2017/05/Tom-Bocklisch-1.jpg,Lead Engineer,Go Last Mile 
Holger G. Weiss,https://www.ai-expo.net/europe/wp-content/uploads/2017/03/gal_holger_weiss_ceo_portrait_2.jpg,Founder & CEO,German Autolabs
Bao Dinh,https://www.ai-expo.net/europe/wp-content/uploads/2017/04/Bao-Dinh.jpg,Regional Director for Western Europe,
Bruce Pon,https://www.ai-expo.net/europe/wp-content/uploads/2017/03/image001.jpg,CEO/Co-founder,BigchainDB
Rupert Steffner,https://www.ai-expo.net/europe/wp-content/uploads/2017/04/rupert_steffner.jpg,CEO ,WUNDER
Yaron Golgher,https://www.ai-expo.net/europe/wp-content/uploads/2017/05/Yaron-Golgher.png,Co-Founder and CEO ,I Know First Ltd
Dimitry Demin,https://www.ai-expo.net/europe/wp-content/uploads/2017/05/Dimitry-Demin.jpg,Founder,algotecture
Peter Schlecht,https://www.ai-expo.net/europe/wp-content/uploads/2017/04/Peter-S.jpg,CEO & Founder ,The SaaS Co.
Petar Djekic,https://www.ai-expo.net/europe/wp-content/uploads/2017/05/Petar-Djekic.jpg,Co-Founder & CEO,Cerebel
Vassilis Tsagaris,https://www.ai-expo.net/europe/wp-content/uploads/2017/05/Vassilis-Tsagaris.jpg,Co-Founder & CEO,Irida Labs
Valerio Velardo,https://www.ai-expo.net/europe/wp-content/uploads/2017/05/Valerio.jpg,CEO and Co-founder,Melodrive
Nikolaj Waller,https://www.ai-expo.net/europe/wp-content/uploads/2017/05/Picture_NikolajWaller.jpg,Technische Universität Berlin,
Christian Rebernik,https://www.ai-expo.net/europe/wp-content/uploads/2017/05/Christian-Rebernik.jpg,CEO,6voices
